a01,e01,e02,e06_sum,e07,Savings diversification,g02_1,g02,Land Acquired,g10,f_ed,m_ed,combined_ed,Input in economic activity,Input on use of generated income,Autonomy in personal decisions in household,Year
4997,1,0,-0.236235418,-1.120578168,-0.493815326,1.062786099,1.388100886,0.120805908,1.284042625,-0.770144296,1.15530324,0.377833523,0.026718333,0.895122396,0.35866523,1
4999,1,0,-0.236235418,-1.120578168,-0.493815326,-0.605873561,-0.700648345,0.042661371,-0.479618946,-1.111402145,-1.887394839,-1.721274048,0.930271042,0.895122396,1.1827291,1
5003,1,0,-0.236235418,-1.120578168,-0.493815326,2.855777263,3.619806339,0.189182378,1.100327878,-0.770144296,0.141070547,-0.26804573,-0.876834376,-0.816181099,-0.053366704,1
5011,0,0,-0.236235418,-1.120578168,-0.493815326,0.683247824,0.824218014,-0.006178965,-0.524016677,-0.087628598,-1.887394839,-1.236864609,0.930271042,0.895122396,0.564681198,1
5025,0,0,-0.236235418,-1.120578168,-0.493815326,-0.651679904,0.67331978,1.800913455,-0.623528832,-0.087628598,-1.887394839,-1.236864609,0.026718333,0.039470649,-0.053366704,1
5029,1,0,-0.236235418,-1.120578168,-0.493815326,0.257903204,1.062478382,0.921787413,-0.43369026,-1.452659995,-0.366045799,-0.913924982,-2.683939795,-2.527484594,-2.525558312,1
5030,1,1,0.029992745,0.693330638,-0.493815326,-0.396473133,-0.446503952,0.042661371,-0.638838394,-0.087628598,0.394628721,0.21636371,0.930271042,0.895122396,1.1827291,1
5031,1,1,-0.036564296,0.693330638,-0.493815326,1.965825445,0.493036101,-2.328048522,-0.510238071,1.277402799,1.15530324,1.346652402,0.930271042,0.895122396,1.1827291,1
5040,0,0,-0.236235418,-1.120578168,-0.493815326,0.827210618,2.237896201,1.517639508,-0.372452011,1.277402799,0.141070547,0.700773149,0.930271042,0.895122396,1.1827291,1
5046,0,0,-0.236235418,-1.120578168,-0.493815326,-0.396473133,-0.446503952,0.042661371,-0.602095444,-1.111402145,-1.633836666,-1.559804235,0.930271042,0.895122396,1.1827291,1
5047,1,1,-0.208281461,1.056112399,-0.493815326,0.388778472,0.403291363,-0.084323502,-0.217213049,-1.111402145,-0.619603973,-0.913924982,0.568849959,0.552861697,1.1827291,1
5048.1,1,1,-0.089809928,1.056112399,2.362567443,-0.115091308,-0.327373768,-0.230844509,-0.387761573,0.253629251,0.394628721,0.377833523,-2.683939795,-2.527484594,-1.90751041,1
5063,1,0,-0.236235418,-1.120578168,-0.493815326,1.429236848,1.769317476,0.042661371,0.013348958,1.277402799,0.648186894,1.023712776,0.930271042,0.895122396,-0.671414606,1
5066,1,0,-0.236235418,-1.120578168,-0.493815326,-0.671311195,-0.065287362,0.921787413,-0.522485721,-0.770144296,-1.887394839,-1.559804235,0.930271042,0.895122396,-0.053366704,1
5086.1,1,1,-0.225419899,1.056112399,-0.493815326,0.486934922,0.713029842,0.150110109,4.110187818,0.594887101,0.394628721,0.539303336,0.32790257,-0.816181099,0.35866523,1
5086.21,0,0,-0.236235418,-1.120578168,-0.493815326,-0.494629583,-0.025577301,0.706889936,-0.418380697,0.594887101,0.394628721,0.539303336,-0.876834376,-0.816181099,-1.289462508,1
5086.22,1,1,-0.230245284,1.056112399,-0.493815326,-0.494629583,-0.263837669,0.413847922,-0.568414407,0.594887101,0.394628721,0.539303336,-0.876834376,-0.816181099,-1.042243347,1
5087,1,1,-0.149711265,0.693330638,-0.493815326,-0.651679904,-0.756242431,0.042661371,-0.669457518,-2.817691391,-1.887394839,-2.528623114,0.930271042,0.895122396,0.564681198,1
5097,0,0,-0.236235418,-1.120578168,-0.493815326,-0.677854958,-0.78801048,0.042661371,-0.693952818,-0.770144296,0.394628721,-0.106575916,0.930271042,0.895122396,1.1827291,1
5110,1,1,-0.192973341,1.056112399,0.934376058,-0.23615093,-0.192359559,0.115921874,-0.366328186,0.253629251,-0.619603973,-0.26804573,0.32790257,0.324687898,0.299803526,1
5111,0,0,-0.236235418,-1.120578168,-0.493815326,-0.671311195,-0.780068468,0.042661371,-0.669457518,0.594887101,-0.366045799,0.054893897,0.930271042,0.895122396,-0.053366704,1
5114,0,0,-0.236235418,-1.120578168,-0.493815326,-0.455367003,-0.517982063,0.042661371,-0.387761573,1.618660648,0.648186894,1.185182589,0.930271042,0.895122396,0.564681198,1
